text;time;regularity;consistent;experiment;word/pseudo
shame;489;yes;yes;2;word
shead;747;no;;1;pseudo
sheed;662;yes;;1;pseudo
sheet;516;yes;yes;2;word
shoes;454;no;no;2;word
shone;521;yes;no;2;word
shoot;476;yes;no;2;word
shore;605;yes;;1;word
shout;432;no;yes;2;word
shove;672;no;;1;word
soad;629;yes;;1;pseudo
soil;630;yes;;1;word
sole;679;yes;;1;word
some;622;no;no;#;word
sood;596;no;;1;pseudo
soon;600;yes/no;yes;#;word
soot;718;no;no;#;word
sost;695;no;;1;pseudo
speat;691;no;;1;pseudo
speet;689;yes;;1;pseudo
spook;645;no;;1;word
spool;735;yes;;1;word
steak;763;no;no;#;word
steal;649;yes;;1;word
steam;514;no;yes;2;word
steat;757;no;;1;pseudo
steet;692;yes;;1;pseudo
stink;545;yes;yes;2;word
stint;622;yes;no;2;word
sues;629;no;yes;2;word
suff;648;yes;;1;pseudo
sull;630;no;;1;pseudo
sust;628;yes;;1;pseudo
sweak;690;no;;1;pseudo
sweal;673;yes;;1;pseudo
sweat;786;no;;1;word
sweet;684;yes;;1;word
tave;598;no;;1;pseudo
taze;611;yes;;1;pseudo
teach;474;no;yes;2;word
tied;532;yes;yes;2;word
toad;534;yes;no;2;word
told;574;yes;;1;word
tomb;707;no;;1;word
touch;520;no;no;2;word
wade;520;yes;yes;2;word
wail;532;yes;no;#;word
wait;511;no;yes;2;word
walk;489;no/yes;yes;2;word
wand;554;no;no;2;word
ware;523;no;yes;2;word
wave;528;yes;no;2;word
wead;630;no;;1;pseudo
weak;500;yes;no;2;word
wear;561;no;;1;word
weat;627;yes;;1;pseudo
weep;538;yes;yes;2;word
were;567;no;no;#;word
wild;592;no;;1;word
wilt;575;yes;;1;word
woke;544;yes;yes;2;word
wone;599;no;;1;pseudo
wool;571;no;no;#;word
wore;582;yes;;1;word
work;506;no;no;2;word
worn;545;no;yes;2;word
wosh;761;yes;;1;pseudo
wote;562;yes;;1;pseudo
wove;536;yes;no;2;word
wuff;525;yes;;1;pseudo
wull;678;no;;1;pseudo
wush;580;no;;1;pseudo
